序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,17:50.8,270.11,268.74,267.38,268.27,269.67,267.53,269.1,269.28,268.62,268.89,269.04,270.66,269.89,271.32,270.39,269.57,268.97,270.51,270.85,269.55,269.4,269.32,270.11,269.85,270.84,270.98,271.25,270.16,270.39,269.64,270.58,270.09,270.77,270.51
2,17:51.8,269.95,269.09,267.6,268.61,269.62,267.48,269.08,269.19,268.63,268.94,269.09,270.72,270,271.26,270.51,269.64,269.11,270.71,270.86,269.5,269.44,269.34,270.16,269.9,270.46,271.03,271.26,270.12,270.41,269.66,270.66,270.17,270.64,270.48
3,17:52.8,270.01,269.02,267.79,268.86,269.52,267.48,269.07,269.16,268.62,269.04,269.12,270.79,270.41,271.38,270.5,269.71,269,270.75,270.9,269.51,269.4,269.39,270.2,269.92,270.7,271.04,271.21,270.12,270.36,269.58,270.77,270.18,270.61,270.52
4,17:53.8,270.17,269.09,267.77,269.03,269.42,267.51,269.02,269.08,268.65,269.18,269.08,270.77,270.39,271.5,270.74,269.91,269.04,270.68,270.94,269.56,269.37,269.41,270.26,269.91,270.86,270.97,271.18,270.09,270.36,269.57,270.76,270.15,270.6,270.59
5,17:54.8,270.3,269.18,267.48,269.3,269.33,267.67,269.01,269.14,268.65,269.25,269.11,270.72,270.57,271.41,270.69,270.01,269.07,270.58,270.9,269.63,269.33,269.48,270.32,269.97,270.9,270.87,271.2,270.13,270.32,269.5,270.77,270.14,270.62,270.36
6,17:55.8,270.24,269.22,267.21,269.65,269.47,267.63,269.03,269.02,268.68,269.63,269.01,270.59,270.34,271.2,270.79,269.98,269.08,270.41,270.9,269.68,269.31,269.54,270.11,270.06,270.92,270.9,271.27,270.15,270.33,269.52,270.79,270.11,270.63,270.43
7,17:56.8,270.23,269.35,266.98,269.92,269.42,267.58,268.9,269.01,268.98,269.79,269.15,270.47,270.3,271,270.7,269.92,269.18,270.37,270.9,269.74,269.3,269.53,270.12,270.09,270.92,270.9,271.3,270.16,270.32,269.55,270.75,270.17,270.7,270.59
8,17:57.8,270.2,269.49,267.33,270.02,269.51,267.3,268.66,268.92,269,269.94,268.9,270.44,270.3,270.74,270.57,269.63,269.28,270.37,270.82,269.73,269.3,269.51,270.29,270.07,270.83,270.95,271.31,270.15,270.32,269.6,270.76,270.11,270.69,270.65
9,17:58.8,269.89,269.57,267.74,269.92,269.67,267.36,268.72,268.82,268.89,270.01,268.7,270.56,270.37,270.54,270.67,269.4,269.16,270.32,270.89,269.7,269.32,269.5,270.32,269.98,270.62,270.86,271.29,270.13,270.35,269.63,270.76,270.1,270.81,270.68
10,17:59.8,269.98,269.4,268,269.65,270.1,267.47,268.89,268.72,269.04,269.79,268.54,270.7,270.38,270.62,270.92,269.29,269.14,270.25,270.82,269.66,269.35,269.45,270.32,269.89,270.7,270.77,271.32,270.13,270.37,269.65,270.8,270.09,270.72,270.44
11,18:00.8,270.08,269.29,267.85,269.42,270.45,267.13,268.99,268.74,269.28,269.72,268.41,270.72,270.65,270.94,271.01,269.28,269.12,270.19,270.79,269.68,269.38,269.45,270.34,269.84,270.85,270.6,271.3,270.11,270.37,269.64,270.85,270.09,270.7,270.48
12,18:01.8,270.24,268.97,267.75,269.56,270.6,266.63,269.04,268.92,269.32,269.84,268.26,270.71,270.92,271.24,271.04,269.12,268.99,270.35,270.86,269.71,269.41,269.47,270.36,269.87,270.91,270.52,271.33,270.08,270.34,269.66,270.85,270.07,270.69,270.6
