序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2025/01/22 16:22:23.589,150.68,149.83,149.16,150.47,150.81,149.34,150.09,150.46,150.61,150.20,149.75,150.68,150.90,150.20,150.41,150.39,150.42,150.29,150.54,150.27,150.13,150.35,150.65,150.31,150.25,149.88,149.75,149.85,150.60,150.47,150.72,150.65,150.90,150.45
2,2025/01/22 16:22:24.591,150.67,149.80,149.21,150.49,150.82,149.38,150.09,150.53,150.58,150.24,149.81,150.72,150.89,150.17,150.46,150.43,150.41,150.29,150.54,150.23,150.14,150.39,150.67,150.30,150.25,149.87,149.72,149.81,150.58,150.46,150.70,150.64,150.87,150.51
3,2025/01/22 16:22:25.577,150.64,149.89,149.16,150.49,150.82,149.54,150.11,150.53,150.55,150.24,149.80,150.69,150.82,150.18,150.50,150.42,150.45,150.39,150.56,150.18,150.14,150.36,150.68,150.31,150.25,149.85,149.72,149.81,150.56,150.44,150.69,150.63,150.81,150.55
4,2025/01/22 16:22:26.609,150.59,149.89,149.18,150.43,150.78,149.63,150.17,150.55,150.49,150.27,149.77,150.65,150.71,150.25,150.48,150.42,150.38,150.46,150.56,150.17,150.16,150.35,150.70,150.32,150.25,149.82,149.70,149.79,150.53,150.44,150.68,150.65,150.76,150.57
5,2025/01/22 16:22:27.596,150.54,149.95,149.09,150.40,150.80,149.66,150.23,150.55,150.46,150.23,149.81,150.68,150.64,150.22,150.43,150.40,150.41,150.56,150.57,150.18,150.16,150.33,150.71,150.29,150.28,149.80,149.70,149.77,150.52,150.43,150.66,150.64,150.74,150.58
6,2025/01/22 16:22:28.581,150.49,149.94,149.04,150.41,150.84,149.77,150.25,150.53,150.42,150.19,149.82,150.66,150.58,150.21,150.34,150.38,150.34,150.58,150.62,150.18,150.20,150.34,150.75,150.25,150.31,149.81,149.70,149.78,150.54,150.43,150.64,150.64,150.71,150.60
7,2025/01/22 16:22:29.598,150.45,149.94,149.01,150.43,150.87,149.84,150.22,150.51,150.39,150.26,149.88,150.66,150.54,150.19,150.27,150.34,150.36,150.62,150.63,150.17,150.16,150.34,150.77,150.27,150.34,149.81,149.70,149.79,150.54,150.43,150.63,150.63,150.68,150.60
8,2025/01/22 16:22:30.586,150.40,149.97,149.01,150.45,150.88,149.91,150.17,150.48,150.38,150.28,149.90,150.64,150.51,150.15,150.19,150.34,150.31,150.60,150.60,150.18,150.12,150.35,150.76,150.25,150.35,149.83,149.71,149.80,150.50,150.39,150.63,150.62,150.61,150.60
9,2025/01/22 16:22:31.589,150.37,149.90,149.17,150.46,150.88,149.93,150.14,150.47,150.34,150.31,149.80,150.54,150.45,150.21,150.16,150.34,150.34,150.54,150.60,150.18,150.08,150.29,150.74,150.25,150.36,149.85,149.69,149.80,150.49,150.39,150.65,150.61,150.58,150.60
10,2025/01/22 16:22:32.638,150.38,149.91,149.11,150.44,150.87,149.93,150.11,150.45,150.32,150.30,149.80,150.51,150.42,150.25,150.09,150.36,150.29,150.52,150.58,150.20,150.05,150.23,150.71,150.26,150.37,149.85,149.71,149.81,150.48,150.38,150.66,150.60,150.53,150.60
