序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
314742,2024/12/24 00:00:00.041,271.35,272.48,273.26,274.22,272.55,272.19,272.72
314743,2024/12/24 00:00:01.802,271.29,272.46,273.27,274.22,272.52,272.16,272.74
314744,2024/12/24 00:00:03.575,271.28,272.44,273.26,274.21,272.47,272.18,272.77
314745,2024/12/24 00:00:05.327,271.29,272.45,273.28,274.28,272.48,272.18,272.70
314746,2024/12/24 00:00:07.092,271.25,272.47,273.26,274.30,272.46,272.25,272.65
314747,2024/12/24 00:00:08.848,271.28,272.53,273.30,274.34,272.46,272.24,272.63
314748,2024/12/24 00:00:10.604,271.25,272.56,273.33,274.33,272.52,272.28,272.66
314749,2024/12/24 00:00:12.364,271.31,272.57,273.29,274.31,272.51,272.27,272.73
314750,2024/12/24 00:00:14.132,271.28,272.53,273.30,274.34,272.56,272.25,272.73
314751,2024/12/24 00:00:15.879,271.26,272.51,273.27,274.31,272.51,272.23,272.69
314752,2024/12/24 00:00:17.641,271.32,272.51,273.30,274.32,272.51,272.21,272.69
314753,2024/12/24 00:00:19.410,271.30,272.52,273.28,274.33,272.48,272.16,272.66
314754,2024/12/24 00:00:21.169,271.23,272.48,273.29,274.31,272.49,272.20,272.72
314755,2024/12/24 00:00:22.929,271.26,272.44,273.28,274.32,272.46,272.19,272.67
314756,2024/12/24 00:00:24.688,271.30,272.43,273.27,274.32,272.45,272.13,272.72
314757,2024/12/24 00:00:26.447,271.33,272.45,273.27,274.35,272.53,272.14,272.76
314758,2024/12/24 00:00:28.199,271.31,272.51,273.28,274.33,272.51,272.15,272.75
314759,2024/12/24 00:00:29.962,271.27,272.55,273.35,274.29,272.50,272.20,272.77
314760,2024/12/24 00:00:31.713,271.35,272.53,273.33,274.31,272.52,272.20,272.72
314761,2024/12/24 00:00:33.480,271.29,272.50,273.32,274.28,272.46,272.20,272.68
314762,2024/12/24 00:00:35.231,271.30,272.49,273.32,274.25,272.49,272.22,272.68
314763,2024/12/24 00:00:36.997,271.33,272.47,273.29,274.30,272.50,272.19,272.70
314764,2024/12/24 00:00:38.764,271.37,272.46,273.31,274.31,272.52,272.19,272.70
314765,2024/12/24 00:00:40.514,271.31,272.47,273.30,274.32,272.49,272.16,272.70
314766,2024/12/24 00:00:42.282,271.34,272.45,273.30,274.29,272.51,272.15,272.75
314767,2024/12/24 00:00:44.032,271.25,272.44,273.37,274.30,272.52,272.21,272.74
314768,2024/12/24 00:00:45.798,271.23,272.45,273.32,274.30,272.57,272.22,272.72
314769,2024/12/24 00:00:47.548,271.19,272.48,273.31,274.33,272.51,272.23,272.71
314770,2024/12/24 00:00:49.314,271.24,272.47,273.32,274.33,272.51,272.20,272.67
314771,2024/12/24 00:00:51.067,271.26,272.45,273.32,274.29,272.48,272.16,272.68
314772,2024/12/24 00:00:52.834,271.31,272.50,273.36,274.31,272.45,272.14,272.72
314773,2024/12/24 00:00:54.586,271.36,272.53,273.35,274.27,272.44,272.14,272.72
314774,2024/12/24 00:00:56.353,271.39,272.48,273.30,274.28,272.43,272.13,272.73
314775,2024/12/24 00:00:58.105,271.38,272.50,273.31,274.26,272.47,272.19,272.69
314776,2024/12/24 00:00:59.872,271.33,272.50,273.26,274.30,272.48,272.17,272.68
314777,2024/12/24 00:01:01.607,271.31,272.52,273.26,274.31,272.49,272.24,272.65
314778,2024/12/24 00:01:03.374,271.23,272.51,273.28,274.31,272.52,272.23,272.62
314779,2024/12/24 00:01:05.125,271.24,272.47,273.25,274.28,272.53,272.21,272.60
314780,2024/12/24 00:01:06.893,271.30,272.51,273.26,274.28,272.52,272.20,272.61
314781,2024/12/24 00:01:08.647,271.29,272.52,273.28,274.26,272.50,272.17,272.61
314782,2024/12/24 00:01:10.414,271.27,272.50,273.25,274.30,272.49,272.15,272.69
314783,2024/12/24 00:01:12.165,271.29,272.48,273.25,274.27,272.50,272.17,272.73
314784,2024/12/24 00:01:13.931,271.34,272.47,273.26,274.33,272.51,272.18,272.78
314785,2024/12/24 00:01:15.683,271.36,272.48,273.34,274.35,272.47,272.23,272.76
314786,2024/12/24 00:01:17.450,271.39,272.53,273.31,274.34,272.48,272.20,272.69
314787,2024/12/24 00:01:19.201,271.35,272.53,273.36,274.33,272.49,272.17,272.69
314788,2024/12/24 00:01:20.968,271.28,272.56,273.34,274.28,272.49,272.18,272.70
314789,2024/12/24 00:01:22.719,271.28,272.52,273.35,274.30,272.49,272.18,272.69
