序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
0,2024/12/25 17:42:42.672,159.71,156.13,156.82,156.45,157.53,156.58,155.78,156.35,156.36,154.58,155.21,154.68,155.35,155.14,154.95,154.75,154.88,154.96,155.76,155.57,156.18,155.91,156.30,156.11,155.72,155.28,155.87,155.53,155.93,155.10,154.98,154.72,155.62,155.58
1,2024/12/25 17:42:43.674,161.33,157.42,158.01,157.71,158.80,157.94,157.04,157.59,157.60,155.54,156.17,155.64,156.32,156.14,155.93,155.69,155.86,156.00,156.76,156.58,157.21,156.91,157.30,157.14,156.69,156.27,156.87,156.49,156.92,156.05,155.93,155.62,156.58,156.55
2,2024/12/25 17:42:44.692,162.94,158.70,159.26,158.96,160.10,159.30,158.33,158.86,158.89,156.54,157.15,156.58,157.35,157.18,156.93,156.69,156.86,157.10,157.78,157.60,158.25,157.93,158.32,158.18,157.69,157.28,157.90,157.44,157.93,157.03,156.90,156.56,157.60,157.51
3,2024/12/25 17:42:45.663,164.57,160.01,160.58,160.30,161.45,160.61,159.62,160.17,160.23,157.57,158.15,157.60,158.39,158.21,157.97,157.69,157.85,158.26,158.77,158.61,159.29,158.94,159.35,159.23,158.69,158.32,158.93,158.44,158.95,158.02,157.87,157.58,158.55,158.49
4,2024/12/25 17:42:46.666,166.23,161.37,161.90,161.59,162.78,161.86,160.92,161.47,161.57,158.64,159.21,158.61,159.48,159.27,159.01,158.75,158.87,159.40,159.80,159.64,160.36,159.96,160.38,160.30,159.72,159.35,159.97,159.44,159.99,159.07,158.87,158.70,159.51,159.49
5,2024/12/25 17:42:47.684,167.88,162.63,163.19,162.92,164.14,163.19,162.22,162.80,162.85,159.72,160.30,159.63,160.62,160.33,160.02,159.80,159.90,160.43,160.83,160.69,161.42,161.00,161.43,161.37,160.75,160.40,161.01,160.41,161.04,160.08,159.91,159.87,160.51,160.50
6,2024/12/25 17:42:48.670,169.49,163.91,164.46,164.32,165.48,164.49,163.59,164.13,164.23,160.76,161.38,160.67,161.73,161.38,161.07,160.87,160.99,161.40,161.87,161.71,162.47,162.05,162.46,162.43,161.80,161.45,162.05,161.38,162.11,161.13,160.96,161.00,161.50,161.53
7,2024/12/25 17:42:49.671,171.11,165.21,165.92,165.76,166.84,165.86,164.95,165.45,165.57,161.92,162.50,161.75,162.91,162.49,162.08,161.96,162.08,162.39,162.90,162.75,163.53,163.10,163.48,163.52,162.87,162.49,163.10,162.37,163.17,162.19,162.03,162.13,162.52,162.57
8,2024/12/25 17:42:50.671,172.66,166.38,167.45,167.20,168.12,167.16,166.31,166.76,166.91,162.99,163.62,162.78,163.99,163.59,163.12,163.11,163.19,163.42,163.94,163.81,164.57,164.14,164.52,164.56,163.90,163.53,164.16,163.39,164.23,163.24,163.10,163.24,163.55,163.61
9,2024/12/25 17:42:51.672,174.20,167.64,168.93,168.64,169.37,168.47,167.66,168.09,168.27,164.11,164.71,163.86,165.05,164.57,164.23,164.24,164.31,164.46,164.99,164.85,165.63,165.18,165.55,165.60,164.91,164.55,165.18,164.35,165.29,164.32,164.21,164.33,164.59,164.68
10,2024/12/25 17:42:52.658,175.70,168.84,170.34,170.02,170.69,169.92,169.02,169.37,169.59,165.12,165.78,164.94,166.16,165.67,165.32,165.35,165.42,165.49,166.06,165.90,166.67,166.22,166.60,166.65,165.96,165.59,166.20,165.26,166.36,165.38,165.30,165.42,165.64,165.71
