序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
0,2024/10/25 09:16:16.218,23.61,23.61,23.60,23.60,23.61,23.62,23.60,23.61,23.60,23.61,23.61,23.61,23.61,23.62,23.62,23.61,23.61,23.61,23.59,23.61,23.61,23.61,23.61,23.61,23.62,23.61,23.60,23.61,23.61,23.61,23.61,23.61,23.61,23.61
1,2024/10/25 09:16:17.207,23.61,23.61,23.60,23.61,23.60,23.61,23.61,23.61,23.60,23.60,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.61,23.60,23.61,23.61,23.62,23.61,23.61,23.63,23.61,23.61,23.62,23.61,23.62,23.61,23.60,23.60,23.61
2,2024/10/25 09:16:18.207,23.61,23.64,23.71,23.63,23.60,23.61,23.60,23.61,23.65,23.70,23.86,23.79,23.60,23.62,23.61,23.61,23.71,23.74,23.60,23.61,23.62,23.61,23.61,23.62,23.62,23.61,23.61,23.62,23.61,23.62,23.60,23.61,23.61,23.61
3,2024/10/25 09:16:19.205,23.62,23.80,23.97,23.71,23.60,23.62,23.61,23.67,23.86,23.97,24.26,24.09,23.61,23.61,23.61,23.61,23.96,24.06,23.60,23.61,23.62,23.60,23.61,23.61,23.62,23.62,23.62,23.62,23.61,23.61,23.60,23.61,23.62,23.61
4,2024/10/25 09:16:20.216,23.62,24.12,24.38,23.87,23.61,23.62,23.61,23.81,24.23,24.38,24.80,24.46,23.61,23.61,23.61,23.61,24.32,24.55,23.61,23.61,23.64,23.62,23.63,23.62,23.62,23.62,23.61,23.62,23.61,23.61,23.61,23.61,23.64,23.63
5,2024/10/25 09:16:21.210,23.64,24.59,24.92,24.09,23.61,23.62,23.62,24.01,24.74,24.92,25.43,24.89,23.63,23.61,23.61,23.62,24.74,25.15,23.64,23.64,23.67,23.66,23.63,23.62,23.63,23.62,23.61,23.62,23.61,23.62,23.62,23.64,23.67,23.66
6,2024/10/25 09:16:22.215,23.79,25.88,26.28,24.70,23.67,23.62,23.67,24.62,26.07,26.25,26.90,25.87,23.68,23.61,23.61,23.67,25.74,26.60,23.79,23.78,23.88,23.84,23.72,23.62,23.62,23.62,23.61,23.62,23.61,23.62,23.70,23.76,23.84,23.84
7,2024/10/25 09:16:23.212,23.92,26.65,27.04,25.07,23.72,23.62,23.71,25.00,26.85,27.00,27.69,26.39,23.70,23.62,23.61,23.72,26.28,27.39,23.93,23.91,24.04,23.98,23.79,23.63,23.62,23.61,23.62,23.62,23.61,23.63,23.74,23.89,24.00,24.00
8,2024/10/25 09:16:24.209,24.11,27.49,27.85,25.47,23.76,23.63,23.77,25.41,27.66,27.77,28.50,26.90,23.76,23.62,23.61,23.78,26.83,28.20,24.10,24.06,24.26,24.16,23.87,23.65,23.63,23.61,23.61,23.62,23.61,23.64,23.83,24.04,24.19,24.20
9,2024/10/25 09:16:25.212,24.34,28.38,28.68,25.88,23.85,23.64,23.85,25.86,28.51,28.57,29.30,27.42,23.81,23.62,23.62,23.85,27.38,29.03,24.31,24.28,24.50,24.37,23.98,23.66,23.63,23.62,23.61,23.62,23.62,23.66,23.94,24.25,24.44,24.43
10,2024/10/25 09:16:26.210,24.60,29.29,29.52,26.33,23.94,23.66,23.95,26.34,29.38,29.37,30.10,27.94,23.88,23.62,23.61,23.93,27.94,29.86,24.58,24.52,24.76,24.61,24.10,23.69,23.62,23.61,23.61,23.62,23.62,23.69,24.06,24.47,24.71,24.71
11,2024/10/25 09:16:27.209,24.91,30.23,30.37,26.78,24.04,23.70,24.07,26.82,30.27,30.17,30.91,28.45,23.96,23.63,23.62,24.04,28.49,30.68,24.87,24.81,25.09,24.88,24.26,23.73,23.63,23.61,23.61,23.61,23.62,23.72,24.20,24.72,25.02,25.02
12,2024/10/25 09:16:28.210,25.61,32.13,32.06,27.71,24.30,23.80,24.35,27.82,32.01,31.78,32.50,29.47,24.14,23.63,23.63,24.25,29.58,32.31,25.54,25.47,25.81,25.50,24.58,23.80,23.64,23.62,23.61,23.62,23.64,23.82,24.55,25.32,25.72,25.74
13,2024/10/25 09:16:29.217,26.01,33.07,32.90,28.19,24.46,23.87,24.50,28.32,32.88,32.60,33.29,29.96,24.24,23.64,23.65,24.36,30.13,33.12,25.93,25.83,26.20,25.82,24.76,23.86,23.65,23.61,23.62,23.62,23.65,23.89,24.74,25.65,26.12,26.13
14,2024/10/25 09:16:30.234,26.42,34.00,33.72,28.66,24.62,23.94,24.67,28.83,33.74,33.38,34.05,30.45,24.36,23.66,23.66,24.49,30.65,33.92,26.32,26.23,26.60,26.17,24.95,23.92,23.66,23.62,23.61,23.62,23.66,23.96,24.95,26.00,26.52,26.55
15,2024/10/25 09:16:31.222,26.86,34.92,34.54,29.14,24.78,24.04,24.85,29.35,34.58,34.16,34.81,30.93,24.46,23.66,23.68,24.62,31.17,34.70,26.74,26.65,27.03,26.53,25.17,23.98,23.67,23.62,23.61,23.63,23.67,24.04,25.15,26.35,26.95,26.98
16,2024/10/25 09:16:32.234,27.30,35.83,35.34,29.61,24.97,24.14,25.05,29.86,35.42,34.94,35.56,31.40,24.59,23.68,23.69,24.76,31.69,35.47,27.18,27.07,27.46,26.89,25.37,24.06,23.69,23.62,23.62,23.64,23.70,24.13,25.39,26.72,27.39,27.42
17,2024/10/25 09:16:33.235,28.20,37.62,36.90,30.57,25.36,24.36,25.47,30.88,37.05,36.48,37.01,32.35,24.84,23.72,23.73,25.05,32.71,36.97,28.08,27.97,28.37,27.64,25.82,24.23,23.73,23.63,23.61,23.64,23.75,24.32,25.87,27.50,28.30,28.36
18,2024/10/25 09:16:34.227,28.66,38.49,37.68,31.05,25.57,24.50,25.68,31.38,37.85,37.25,37.72,32.81,24.97,23.75,23.77,25.21,33.20,37.72,28.57,28.44,28.83,28.01,26.05,24.32,23.76,23.63,23.62,23.65,23.78,24.41,26.12,27.89,28.77,28.85
19,2024/10/25 09:16:35.240,29.14,39.36,38.43,31.52,25.78,24.63,25.91,31.88,38.63,38.00,38.42,33.27,25.10,23.78,23.80,25.35,33.69,38.45,29.04,28.91,29.29,28.40,26.29,24.42,23.79,23.64,23.63,23.65,23.81,24.54,26.38,28.30,29.26,29.34
20,2024/10/25 09:16:36.234,29.60,40.20,39.18,31.99,26.00,24.78,26.14,32.37,39.41,38.75,39.12,33.71,25.25,23.82,23.83,25.51,34.17,39.15,29.55,29.39,29.76,28.78,26.53,24.52,23.82,23.65,23.62,23.66,23.84,24.65,26.63,28.71,29.73,29.84
21,2024/10/25 09:16:37.220,30.08,41.05,39.91,32.46,26.22,24.93,26.39,32.88,40.18,39.48,39.80,34.16,25.39,23.85,23.88,25.68,34.65,39.87,30.04,29.89,30.23,29.18,26.77,24.63,23.85,23.65,23.63,23.67,23.88,24.77,26.92,29.12,30.22,30.34
22,2024/10/25 09:16:38.230,31.03,42.67,41.34,33.39,26.69,25.25,26.88,33.85,41.64,40.92,41.11,35.05,25.68,23.93,23.95,26.00,35.59,41.24,31.05,30.88,31.20,29.98,27.28,24.86,23.92,23.68,23.65,23.70,23.98,25.03,27.45,29.95,31.20,31.37
