序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2024/10/12 15:03:14.362,24.99,24.99,24.99,24.99,24.99,24.99,24.99,25.00,24.98,25.00,24.98,25.00,24.99,25.00,24.99,25.00,25.00,25.00,24.99,25.00,24.99,24.99,24.99,24.99,24.99,24.98,24.99,24.99,25.00,25.01,25.00,25.00,25.01,25.01
2,2024/10/12 15:03:15.361,25.02,25.00,25.02,25.00,25.00,25.00,24.99,25.00,25.00,25.00,25.02,25.01,25.01,25.01,25.00,25.00,25.01,25.02,25.01,25.01,25.02,25.01,25.03,25.02,25.02,25.00,25.01,25.02,25.01,25.01,25.00,25.02,25.03,25.03
3,2024/10/12 15:03:16.363,25.47,25.23,25.39,25.27,25.34,25.27,25.18,25.15,25.26,25.17,25.30,25.25,25.30,25.25,25.19,25.17,25.17,25.20,25.25,25.23,25.39,25.35,25.36,25.36,25.29,25.22,25.32,25.33,25.24,25.22,25.16,25.23,25.35,25.38
4,2024/10/12 15:03:17.379,26.00,25.56,25.82,25.63,25.74,25.64,25.47,25.40,25.62,25.41,25.62,25.56,25.65,25.56,25.46,25.44,25.41,25.47,25.56,25.53,25.75,25.74,25.70,25.76,25.62,25.53,25.66,25.69,25.52,25.48,25.38,25.50,25.67,25.75
5,2024/10/12 15:03:18.368,26.74,26.04,26.37,26.13,26.27,26.13,25.91,25.82,26.12,25.77,26.06,25.97,26.11,25.98,25.85,25.82,25.74,25.86,25.97,25.93,26.21,26.23,26.17,26.25,26.06,25.95,26.10,26.14,25.92,25.85,25.70,25.88,26.11,26.23
6,2024/10/12 15:03:19.364,27.58,26.65,27.03,26.73,26.92,26.75,26.48,26.35,26.73,26.23,26.59,26.47,26.66,26.50,26.32,26.30,26.17,26.34,26.47,26.44,26.77,26.79,26.71,26.81,26.59,26.46,26.62,26.67,26.39,26.32,26.09,26.35,26.61,26.77
7,2024/10/12 15:03:20.384,28.53,27.34,27.77,27.43,27.65,27.46,27.16,26.99,27.46,26.78,27.19,27.06,27.28,27.08,26.89,26.86,26.68,26.89,27.04,27.01,27.39,27.42,27.30,27.45,27.17,27.05,27.20,27.28,26.94,26.84,26.57,26.89,27.18,27.39
8,2024/10/12 15:03:21.375,30.60,28.97,29.45,29.05,29.33,29.11,28.73,28.52,29.09,28.09,28.58,28.42,28.69,28.45,28.22,28.17,27.91,28.22,28.34,28.32,28.76,28.86,28.68,28.91,28.54,28.39,28.54,28.65,28.22,28.08,27.68,28.15,28.50,28.76
9,2024/10/12 15:03:22.374,31.70,29.86,30.37,29.95,30.23,30.01,29.60,29.38,29.99,28.81,29.33,29.17,29.47,29.20,28.96,28.91,28.60,28.95,29.07,29.05,29.51,29.63,29.43,29.68,29.28,29.11,29.27,29.39,28.93,28.76,28.32,28.84,29.21,29.52
10,2024/10/12 15:03:23.375,32.84,30.79,31.31,30.86,31.18,30.95,30.53,30.29,30.92,29.58,30.14,29.95,30.29,29.99,29.73,29.67,29.34,29.73,29.81,29.80,30.30,30.43,30.21,30.49,30.07,29.88,30.06,30.17,29.68,29.48,28.99,29.57,29.99,30.29
