序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
0,2025/01/17 14:50:44.673,150.01,149.73,149.64,149.90,149.81,149.84,149.68,149.71,149.72,150.09,150.10,150.09,149.77,149.81,149.87,150.29,149.15,149.99,150.16,149.99,150.00,150.13,150.05,149.35,149.44,149.47,149.81,149.93,149.88,149.75,150.04,149.83,149.84,150.18
1,2025/01/17 14:50:45.669,149.93,149.67,149.67,149.95,149.89,149.79,149.65,149.66,149.69,150.12,150.15,150.00,149.68,149.75,149.91,150.22,149.13,149.99,150.14,149.98,150.05,150.11,150.07,149.33,149.44,149.51,149.85,149.88,149.91,149.73,150.10,149.81,149.79,150.19
2,2025/01/17 14:50:46.675,149.96,149.59,149.64,149.90,149.97,149.83,149.62,149.67,149.77,150.16,150.20,150.05,149.56,149.69,149.87,150.28,149.12,149.97,150.14,149.94,150.03,150.10,150.10,149.26,149.49,149.52,149.79,149.86,149.87,149.73,150.10,149.80,149.70,150.17
3,2025/01/17 14:50:47.682,149.92,149.62,149.62,149.78,149.89,149.79,149.59,149.67,149.82,149.98,150.17,150.18,149.68,149.65,149.90,150.15,149.13,149.90,150.12,149.92,150.08,150.12,150.15,149.36,149.45,149.33,149.67,149.85,149.91,149.70,150.08,149.76,149.82,150.09
4,2025/01/17 14:50:48.680,149.95,149.66,149.58,149.78,149.86,149.71,149.65,149.68,149.79,149.96,150.17,150.18,149.72,149.70,149.89,150.13,149.13,149.91,150.07,149.91,150.10,150.10,150.13,149.42,149.47,149.43,149.67,149.86,149.86,149.70,150.04,149.79,149.94,150.03
5,2025/01/17 14:50:49.682,149.86,149.70,149.57,149.86,149.85,149.72,149.60,149.73,149.77,149.95,150.10,150.17,149.63,149.79,149.96,150.17,149.24,149.92,150.06,149.90,150.11,150.05,150.21,149.41,149.48,149.47,149.71,149.87,149.84,149.70,150.06,149.81,149.97,150.06
6,2025/01/17 14:50:50.687,149.91,149.69,149.61,149.79,149.78,149.67,149.63,149.73,149.76,150.03,149.99,150.15,149.69,149.75,149.97,150.17,149.22,149.76,150.07,149.92,150.15,150.01,150.21,149.46,149.44,149.47,149.72,149.89,149.85,149.74,150.11,149.78,149.91,150.02
7,2025/01/17 14:50:51.686,149.96,149.73,149.62,149.85,149.81,149.68,149.67,149.65,149.82,150.10,149.92,150.18,149.63,149.65,149.99,150.13,149.24,149.80,150.06,149.92,150.17,150.03,150.18,149.48,149.28,149.41,149.71,149.89,149.84,149.78,150.17,149.78,149.93,150.03
8,2025/01/17 14:50:52.694,150.10,149.76,149.72,149.82,149.85,149.66,149.64,149.67,149.83,150.04,150.03,150.27,149.72,149.67,149.91,150.17,149.16,149.77,150.05,149.88,150.01,149.94,150.18,149.46,149.35,149.66,149.70,149.86,149.91,149.80,150.05,149.85,149.97,150.16
9,2025/01/17 14:50:53.689,150.08,149.72,149.75,149.83,149.86,149.75,149.57,149.69,149.79,150.13,150.07,150.25,149.69,149.67,149.77,150.17,149.16,149.83,150.06,149.91,149.95,149.97,150.17,149.49,149.20,149.58,149.69,149.91,149.96,149.78,149.94,149.84,149.91,150.10
10,2025/01/17 14:50:54.693,150.07,149.67,149.74,149.87,149.89,149.80,149.42,149.74,149.82,150.00,150.02,150.23,149.71,149.75,149.74,150.21,149.16,149.87,150.07,149.92,149.96,149.98,150.22,149.48,149.21,149.55,149.71,149.88,149.98,149.78,149.93,149.82,149.94,150.09
11,2025/01/17 14:50:55.689,150.03,149.64,149.73,149.92,149.81,149.83,149.48,149.70,149.80,150.12,150.09,150.17,149.66,149.68,149.72,150.26,149.21,149.82,150.06,149.92,149.97,150.03,150.26,149.37,149.32,149.60,149.72,149.87,149.91,149.76,150.04,149.85,149.93,150.09
12,2025/01/17 14:50:56.687,150.01,149.69,149.69,149.94,149.82,149.80,149.64,149.72,149.80,150.11,150.04,150.09,149.54,149.61,149.70,150.26,149.19,149.89,150.06,149.95,150.03,149.98,150.21,149.33,149.40,149.63,149.75,149.84,149.89,149.72,150.02,149.88,149.92,150.12
13,2025/01/17 14:50:57.692,149.98,149.76,149.73,149.83,149.97,149.80,149.64,149.74,149.75,150.16,149.96,150.12,149.61,149.64,149.66,150.12,149.19,149.84,150.09,150.00,150.11,149.88,150.16,149.51,149.27,149.55,149.70,149.83,149.86,149.82,150.15,149.83,149.91,150.03
14,2025/01/17 14:50:58.691,150.07,149.74,149.72,149.84,149.94,149.83,149.49,149.65,149.77,150.15,150.01,150.22,149.65,149.50,149.60,150.21,149.10,149.96,150.06,149.97,150.15,149.87,150.15,149.56,149.21,149.49,149.68,149.83,149.88,149.79,150.16,149.86,149.93,150.00
15,2025/01/17 14:50:59.691,150.00,149.83,149.68,149.80,149.89,149.83,149.52,149.67,149.79,150.10,149.96,150.05,149.54,149.50,149.72,150.21,149.14,149.86,150.06,149.98,150.16,149.85,150.12,149.47,149.21,149.53,149.70,149.82,149.89,149.78,150.11,149.84,149.90,149.99
16,2025/01/17 14:51:00.692,149.97,149.76,149.64,149.84,149.85,149.65,149.59,149.68,149.82,150.17,149.92,150.09,149.54,149.47,149.68,150.12,149.18,149.82,150.07,149.94,150.12,149.82,150.10,149.41,149.32,149.46,149.72,149.78,149.90,149.76,150.09,149.77,149.79,149.99
17,2025/01/17 14:51:01.692,150.02,149.75,149.66,149.87,149.90,149.75,149.66,149.66,149.82,150.20,149.87,150.11,149.56,149.50,149.79,150.08,149.15,149.92,150.06,149.91,150.09,149.90,150.13,149.34,149.37,149.43,149.69,149.77,149.91,149.76,150.07,149.79,149.79,149.97
18,2025/01/17 14:51:02.690,150.00,149.67,149.68,149.86,149.79,149.76,149.59,149.64,149.75,150.09,149.85,150.12,149.71,149.74,149.87,150.06,149.16,150.04,150.04,149.88,150.09,149.91,150.20,149.28,149.52,149.42,149.74,149.79,149.96,149.77,150.17,149.81,149.86,149.89
19,2025/01/17 14:51:03.696,149.89,149.64,149.75,149.79,149.85,149.68,149.59,149.63,149.77,150.11,149.84,150.16,149.65,149.73,149.84,150.20,149.08,150.08,150.07,149.88,150.08,149.91,150.25,149.26,149.39,149.43,149.76,149.75,149.93,149.71,150.16,149.87,149.85,149.87
20,2025/01/17 14:51:04.691,149.91,149.63,149.73,149.77,149.91,149.67,149.61,149.58,149.81,150.10,149.81,150.20,149.75,149.73,149.83,150.22,149.08,150.05,150.07,149.86,150.03,149.85,150.28,149.33,149.27,149.46,149.73,149.74,149.81,149.73,150.12,149.84,149.83,149.83
21,2025/01/17 14:51:05.712,149.90,149.64,149.57,149.80,149.93,149.72,149.58,149.42,149.81,150.07,149.86,150.21,149.81,149.68,149.83,150.16,149.13,150.01,150.08,149.78,149.99,149.87,150.25,149.36,149.25,149.50,149.76,149.76,149.82,149.73,150.12,149.81,149.78,149.90
22,2025/01/17 14:51:06.706,149.95,149.66,149.59,149.86,149.94,149.75,149.51,149.39,149.80,150.08,149.90,150.18,149.70,149.65,149.89,150.10,149.04,150.03,150.07,149.77,150.02,149.89,150.21,149.37,149.26,149.50,149.78,149.81,149.86,149.72,150.12,149.82,149.79,149.91
23,2025/01/17 14:51:07.704,150.00,149.71,149.68,149.86,149.92,149.72,149.54,149.42,149.82,150.10,149.80,150.24,149.68,149.72,149.72,150.21,149.07,149.99,150.06,149.75,149.95,149.87,150.21,149.31,149.29,149.53,149.80,149.83,149.93,149.74,150.14,149.78,149.81,150.00
24,2025/01/17 14:51:08.700,149.97,149.70,149.77,149.80,149.84,149.76,149.53,149.53,149.81,150.06,149.94,150.17,149.87,149.75,149.76,150.18,149.26,149.80,150.02,149.72,149.94,149.86,150.26,149.47,149.17,149.58,149.88,149.85,150.00,149.70,150.18,149.78,149.69,149.96
25,2025/01/17 14:51:09.708,150.01,149.65,149.78,149.80,149.77,149.78,149.55,149.48,149.85,150.10,149.94,150.20,149.83,149.69,149.73,150.23,149.35,149.80,150.05,149.75,149.94,149.94,150.29,149.49,149.13,149.57,149.82,149.85,149.96,149.69,150.21,149.84,149.74,150.06
26,2025/01/17 14:51:10.706,150.12,149.70,149.86,149.88,149.79,149.73,149.61,149.56,149.84,150.16,149.94,150.14,149.79,149.73,149.72,150.18,149.40,149.69,150.03,149.81,149.98,149.99,150.33,149.47,149.23,149.57,149.82,149.90,149.96,149.76,150.12,149.85,149.82,150.10
27,2025/01/17 14:51:11.702,150.12,149.68,149.84,149.88,149.82,149.81,149.63,149.59,149.88,150.05,149.91,150.14,149.72,149.72,149.85,150.27,149.40,149.81,150.04,149.86,149.98,149.99,150.29,149.49,149.23,149.55,149.83,149.91,149.94,149.79,150.15,149.90,149.92,150.08
28,2025/01/17 14:51:12.707,150.13,149.67,149.81,149.91,149.92,149.86,149.66,149.51,149.86,150.07,149.92,150.15,149.69,149.69,149.89,150.24,149.37,149.86,150.04,149.88,150.06,149.98,150.25,149.53,149.14,149.55,149.81,149.92,149.94,149.82,150.17,149.89,149.98,150.11
