序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2025/01/17 09:22:16.147,150.28,149.98,149.82,150.04,150.05,150.23,149.99,149.75,150.12,149.95,150.20,149.91,149.97,150.45,150.18,150.11,149.27,149.38,149.52,149.89,150.21,149.82,148.99,149.37,150.22,150.42,150.28,149.77,149.48,149.57,149.57,149.36,149.38,148.96
2,2025/01/17 09:22:17.135,150.17,149.86,149.87,150.04,150.11,150.21,150.01,149.79,150.15,149.98,150.26,149.87,150.09,150.41,150.24,150.14,149.24,149.41,149.55,149.89,150.18,149.76,148.97,149.36,150.27,150.32,150.24,149.80,149.45,149.55,149.53,149.31,149.40,148.96
3,2025/01/17 09:22:18.149,150.08,149.88,149.89,150.04,150.20,150.22,149.90,149.85,150.15,150.02,150.28,149.93,150.19,150.38,150.29,150.15,149.21,149.53,149.53,149.90,150.18,149.68,148.92,149.35,150.17,150.30,150.22,149.85,149.43,149.56,149.54,149.15,149.38,149.01
4,2025/01/17 09:22:19.154,150.11,149.96,149.92,149.96,150.26,150.22,149.91,149.88,150.07,149.90,150.34,150.01,150.07,150.45,150.32,150.15,149.26,149.47,149.50,149.89,150.16,149.65,148.88,149.40,150.23,150.35,150.20,149.79,149.43,149.57,149.52,149.27,149.41,149.04
5,2025/01/17 09:22:20.164,150.12,149.90,149.92,150.12,150.24,150.23,149.84,149.83,150.04,149.77,150.17,150.02,149.89,150.53,150.34,150.17,149.25,149.53,149.54,149.89,150.13,149.58,148.72,149.48,150.21,150.42,150.15,149.85,149.46,149.63,149.60,149.50,149.45,149.06
6,2025/01/17 09:22:21.153,150.11,149.92,149.91,150.18,150.17,150.28,149.88,149.91,149.98,149.91,150.20,150.03,149.93,150.56,150.39,150.16,149.24,149.61,149.59,149.86,150.09,149.61,148.71,149.37,150.22,150.40,150.14,149.95,149.48,149.62,149.63,149.43,149.48,149.08
7,2025/01/17 09:22:22.164,150.13,149.98,149.94,150.13,150.18,150.28,149.95,149.89,149.96,149.98,150.20,150.03,149.96,150.53,150.41,150.20,149.34,149.56,149.60,149.85,150.11,149.66,148.82,149.25,150.21,150.40,150.12,149.88,149.45,149.55,149.56,149.43,149.41,149.11
8,2025/01/17 09:22:23.165,150.07,150.00,149.93,150.17,150.30,150.23,149.95,149.85,150.06,149.96,150.15,150.04,150.04,150.49,150.40,150.26,149.42,149.66,149.64,149.87,150.11,149.67,148.88,149.25,150.04,150.35,150.12,149.87,149.45,149.61,149.58,149.49,149.35,149.12
9,2025/01/17 09:22:24.150,150.02,149.93,149.90,150.17,150.29,150.16,149.88,149.82,150.11,150.00,150.25,150.07,149.95,150.51,150.41,150.24,149.45,149.72,149.71,149.84,150.10,149.62,148.89,149.31,150.11,150.41,150.16,149.82,149.51,149.61,149.66,149.46,149.42,149.15
10,2025/01/17 09:22:25.158,150.05,150.05,149.96,150.12,150.28,150.24,149.95,149.85,150.11,150.06,150.21,150.04,149.97,150.49,150.39,150.27,149.46,149.69,149.67,149.81,150.11,149.56,148.82,149.34,150.15,150.45,150.16,149.77,149.52,149.63,149.69,149.42,149.46,149.16
