序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2024/10/24 14:03:30.609,42.97,42.86,42.93,42.94,42.96,43.01,42.94,42.90,42.88,42.74,42.94,42.95,42.90,42.94,43.01,42.93,42.85,42.83,42.61,42.65,42.72,42.78,42.82,42.79,42.88,42.91,42.96,42.95,42.90,42.80,42.71,42.71,42.68,42.64
2,2024/10/24 14:03:31.606,42.96,42.93,43.10,42.97,42.98,43.00,42.93,42.90,43.00,42.96,43.25,43.18,42.87,42.94,43.00,42.93,43.01,43.07,42.60,42.64,42.72,42.79,42.82,42.78,42.87,42.87,42.95,42.95,42.91,42.79,42.70,42.69,42.68,42.64
3,2024/10/24 14:03:32.601,42.96,43.16,43.41,43.11,42.96,43.00,42.94,42.99,43.27,43.32,43.71,43.51,42.87,42.94,42.99,42.93,43.30,43.49,42.60,42.63,42.71,42.78,42.81,42.78,42.85,42.84,42.93,42.94,42.91,42.76,42.70,42.69,42.69,42.64
4,2024/10/24 14:03:33.596,42.95,43.50,43.84,43.28,42.96,43.00,42.93,43.11,43.66,43.80,44.31,43.93,42.87,42.92,42.99,42.93,43.69,44.03,42.61,42.61,42.71,42.78,42.81,42.77,42.84,42.82,42.94,42.96,42.90,42.76,42.70,42.69,42.71,42.65
5,2024/10/24 14:03:34.612,42.95,43.97,44.40,43.50,42.96,42.99,42.94,43.32,44.19,44.39,44.96,44.38,42.88,42.92,42.95,42.93,44.13,44.69,42.65,42.64,42.77,42.83,42.83,42.77,42.84,42.80,42.93,42.95,42.90,42.76,42.70,42.72,42.75,42.70
6,2024/10/24 14:03:35.599,43.00,44.57,45.04,43.80,42.96,42.99,42.96,43.59,44.80,45.06,45.70,44.85,42.90,42.90,42.95,42.93,44.62,45.42,42.70,42.70,42.83,42.89,42.85,42.77,42.81,42.81,42.92,42.95,42.88,42.76,42.73,42.78,42.82,42.77
7,2024/10/24 14:03:36.598,43.20,46.00,46.48,44.49,43.04,42.97,43.00,44.25,46.25,46.52,47.28,45.83,42.95,42.90,42.94,42.97,45.67,46.98,42.93,42.91,43.13,43.13,42.94,42.78,42.80,42.83,42.91,42.94,42.85,42.77,42.81,42.99,43.08,43.05
8,2024/10/24 14:03:37.596,43.33,46.81,47.24,44.87,43.09,42.97,43.05,44.65,47.03,47.27,48.07,46.31,42.99,42.90,42.92,43.04,46.21,47.79,43.09,43.05,43.30,43.29,43.02,42.78,42.80,42.80,42.90,42.91,42.84,42.77,42.87,43.15,43.26,43.24
9,2024/10/24 14:03:38.607,43.53,47.62,48.04,45.28,43.16,42.97,43.11,45.04,47.83,48.07,48.87,46.81,43.05,42.88,42.91,43.08,46.75,48.61,43.30,43.25,43.51,43.47,43.10,42.77,42.79,42.80,42.89,42.89,42.83,42.79,42.96,43.33,43.48,43.46
10,2024/10/24 14:03:39.599,43.75,48.50,48.84,45.71,43.24,42.99,43.19,45.48,48.66,48.86,49.66,47.29,43.10,42.88,42.90,43.14,47.30,49.43,43.53,43.48,43.77,43.69,43.20,42.79,42.79,42.80,42.88,42.88,42.85,42.78,43.08,43.56,43.75,43.72
11,2024/10/24 14:03:40.599,44.02,49.41,49.65,46.12,43.32,43.00,43.28,45.94,49.47,49.69,50.43,47.78,43.17,42.88,42.90,43.22,47.85,50.23,43.79,43.75,44.06,43.92,43.32,42.80,42.78,42.79,42.88,42.88,42.84,42.80,43.19,43.80,44.04,44.00
12,2024/10/24 14:03:41.605,44.64,51.17,51.28,46.99,43.52,43.06,43.49,46.87,51.16,51.22,51.99,48.79,43.32,42.85,42.89,43.40,48.92,51.85,44.42,44.34,44.69,44.44,43.58,42.86,42.79,42.75,42.85,42.89,42.81,42.88,43.50,44.32,44.67,44.65
13,2024/10/24 14:03:42.598,44.98,52.06,52.07,47.45,43.67,43.10,43.61,47.34,52.01,52.00,52.74,49.25,43.39,42.87,42.90,43.49,49.44,52.60,44.75,44.67,45.04,44.72,43.70,42.89,42.78,42.74,42.83,42.86,42.81,42.94,43.67,44.60,45.01,45.02
14,2024/10/24 14:03:43.601,45.32,52.96,52.85,47.90,43.79,43.15,43.75,47.77,52.83,52.76,53.48,49.72,43.49,42.87,42.90,43.59,49.95,53.38,45.10,45.03,45.42,45.04,43.82,42.95,42.78,42.74,42.82,42.85,42.82,43.00,43.84,44.93,45.38,45.41
15,2024/10/24 14:03:44.599,45.71,53.85,53.61,48.35,43.94,43.24,43.92,48.24,53.63,53.54,54.19,50.17,43.58,42.87,42.91,43.70,50.47,54.17,45.50,45.41,45.79,45.37,44.02,43.00,42.77,42.75,42.82,42.85,42.83,43.04,44.02,45.23,45.80,45.80
16,2024/10/24 14:03:45.597,46.09,54.72,54.36,48.79,44.08,43.30,44.05,48.73,54.41,54.27,54.93,50.64,43.70,42.87,42.92,43.83,50.97,54.90,45.89,45.79,46.20,45.69,44.22,43.06,42.77,42.73,42.80,42.85,42.84,43.10,44.23,45.60,46.20,46.22
17,2024/10/24 14:03:46.610,46.93,56.41,55.87,49.65,44.44,43.48,44.39,49.67,55.96,55.77,56.35,51.50,43.90,42.88,42.92,44.05,51.99,56.38,46.72,46.61,47.02,46.39,44.64,43.17,42.76,42.70,42.79,42.83,42.89,43.24,44.65,46.34,47.01,47.08
18,2024/10/24 14:03:47.601,47.36,57.28,56.61,50.08,44.62,43.59,44.58,50.13,56.74,56.52,57.05,51.95,43.98,42.90,42.94,44.17,52.46,57.10,47.15,47.05,47.44,46.73,44.86,43.26,42.77,42.71,42.80,42.83,42.90,43.32,44.86,46.72,47.46,47.50
19,2024/10/24 14:03:48.596,47.80,58.09,57.35,50.52,44.79,43.66,44.76,50.58,57.49,57.25,57.71,52.40,44.10,42.92,42.96,44.31,52.93,57.83,47.59,47.47,47.86,47.08,45.08,43.32,42.81,42.71,42.79,42.82,42.91,43.41,45.08,47.09,47.89,47.96
20,2024/10/24 14:03:49.598,48.22,58.91,58.03,50.99,44.99,43.78,44.98,51.07,58.19,57.91,58.40,52.82,44.20,42.94,42.95,44.45,53.38,58.48,48.04,47.93,48.29,47.42,45.29,43.40,42.83,42.71,42.78,42.83,42.93,43.48,45.30,47.47,48.34,48.40
