序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2024/10/10 13:58:10.350,24.90,24.60,24.79,24.65,24.73,24.64,24.54,24.49,24.66,24.51,24.68,24.63,24.69,24.62,24.54,24.52,24.53,24.57,24.63,24.59,24.78,24.77,24.75,24.76,24.67,24.59,24.70,24.73,24.60,24.57,24.51,24.59,24.74,24.78
2,2024/10/10 13:58:11.369,25.52,25.00,25.27,25.07,25.18,25.06,24.89,24.80,25.07,24.81,25.04,24.98,25.08,24.98,24.86,24.83,24.80,24.89,24.98,24.94,25.19,25.19,25.15,25.20,25.04,24.95,25.09,25.12,24.93,24.88,24.76,24.91,25.10,25.21
3,2024/10/10 13:58:12.358,26.30,25.53,25.87,25.60,25.77,25.62,25.38,25.26,25.61,25.22,25.51,25.42,25.58,25.43,25.29,25.25,25.16,25.31,25.43,25.39,25.69,25.70,25.65,25.71,25.52,25.40,25.56,25.60,25.34,25.27,25.09,25.32,25.56,25.71
4,2024/10/10 13:58:13.386,27.19,26.18,26.57,26.26,26.45,26.28,25.98,25.84,26.27,25.72,26.07,25.96,26.15,25.98,25.81,25.76,25.61,25.82,25.95,25.92,26.26,26.31,26.21,26.33,26.07,25.95,26.11,26.18,25.85,25.75,25.51,25.81,26.09,26.29
5,2024/10/10 13:58:14.355,28.19,26.91,27.34,26.99,27.22,27.02,26.69,26.51,27.03,26.29,26.72,26.58,26.81,26.60,26.41,26.32,26.15,26.42,26.55,26.53,26.90,26.96,26.84,27.00,26.70,26.57,26.71,26.81,26.43,26.28,25.99,26.36,26.68,26.94
6,2024/10/10 13:58:15.369,30.29,28.58,29.08,28.66,28.94,28.72,28.33,28.09,28.71,27.65,28.14,27.99,28.27,28.01,27.78,27.67,27.39,27.77,27.91,27.88,28.33,28.44,28.26,28.48,28.10,27.94,28.12,28.22,27.72,27.52,27.14,27.63,28.03,28.36
7,2024/10/10 13:58:16.391,31.41,29.51,30.00,29.56,29.88,29.63,29.23,28.98,29.62,28.40,28.93,28.75,29.07,28.79,28.54,28.43,28.11,28.53,28.65,28.62,29.10,29.24,29.03,29.27,28.86,28.71,28.87,28.97,28.45,28.22,27.79,28.34,28.77,29.12
8,2024/10/10 13:58:17.374,32.56,30.46,30.97,30.50,30.82,30.59,30.16,29.91,30.57,29.20,29.74,29.55,29.91,29.60,29.34,29.20,28.86,29.32,29.43,29.39,29.91,30.05,29.83,30.09,29.66,29.49,29.67,29.76,29.21,28.94,28.47,29.09,29.54,29.91
9,2024/10/10 13:58:18.369,33.72,31.43,31.95,31.48,31.82,31.57,31.13,30.86,31.57,30.00,30.58,30.39,30.75,30.44,30.15,30.01,29.65,30.15,30.23,30.20,30.74,30.89,30.65,30.94,30.48,30.29,30.48,30.58,30.00,29.70,29.18,29.86,30.36,30.72
10,2024/10/10 13:58:19.384,34.88,32.45,32.97,32.47,32.84,32.59,32.13,31.84,32.59,30.84,31.45,31.26,31.63,31.31,30.99,30.85,30.45,30.98,31.05,31.04,31.60,31.77,31.50,31.81,31.32,31.13,31.33,31.42,30.80,30.49,29.95,30.67,31.18,31.55
11,2024/10/10 13:58:20.383,37.17,34.51,35.04,34.52,34.90,34.64,34.17,33.89,34.65,32.60,33.25,33.04,33.46,33.10,32.75,32.61,32.17,32.74,32.75,32.75,33.35,33.53,33.24,33.58,33.06,32.84,33.06,33.16,32.53,32.14,31.57,32.35,32.89,33.30
12,2024/10/10 13:58:21.385,38.33,35.55,36.07,35.55,35.95,35.70,35.21,34.91,35.69,33.49,34.14,33.94,34.38,34.01,33.65,33.51,33.06,33.64,33.62,33.63,34.24,34.43,34.13,34.48,33.95,33.73,33.95,34.05,33.41,32.99,32.40,33.22,33.78,34.17
13,2024/10/10 13:58:22.391,39.53,36.60,37.12,36.58,37.00,36.76,36.25,35.96,36.74,34.39,35.07,34.87,35.31,34.94,34.58,34.41,33.95,34.54,34.50,34.51,35.15,35.35,35.03,35.39,34.85,34.63,34.83,34.95,34.30,33.86,33.26,34.09,34.65,35.06
14,2024/10/10 13:58:23.397,40.69,37.64,38.18,37.63,38.06,37.81,37.27,37.01,37.79,35.32,36.00,35.81,36.25,35.87,35.50,35.33,34.84,35.47,35.39,35.40,36.05,36.27,35.93,36.31,35.75,35.53,35.74,35.85,35.20,34.74,34.11,34.98,35.54,35.96
15,2024/10/10 13:58:24.384,41.85,38.68,39.22,38.67,39.11,38.86,38.32,38.05,38.84,36.24,36.96,36.74,37.18,36.81,36.41,36.25,35.75,36.40,36.28,36.30,36.98,37.18,36.85,37.22,36.67,36.43,36.65,36.77,36.11,35.63,35.00,35.90,36.47,36.87
16,2024/10/10 13:58:25.392,43.01,39.75,40.28,39.70,40.17,39.92,39.37,39.05,39.91,37.17,37.91,37.69,38.12,37.75,37.36,37.18,36.67,37.34,37.19,37.20,37.89,38.12,37.77,38.14,37.58,37.35,37.56,37.68,37.03,36.53,35.89,36.82,37.40,37.78
17,2024/10/10 13:58:26.396,45.29,41.88,42.39,41.76,42.27,42.04,41.51,41.16,42.02,39.06,39.80,39.59,40.02,39.65,39.28,39.05,38.51,39.24,38.99,39.02,39.74,39.98,39.60,39.98,39.42,39.18,39.39,39.52,38.86,38.37,37.71,38.68,39.25,39.61
18,2024/10/10 13:58:27.396,46.42,42.92,43.41,42.82,43.31,43.08,42.54,42.21,43.08,40.01,40.75,40.53,40.97,40.59,40.22,39.99,39.46,40.19,39.89,39.92,40.66,40.90,40.53,40.91,40.33,40.10,40.30,40.44,39.79,39.30,38.63,39.64,40.17,40.54
19,2024/10/10 13:58:28.399,47.48,43.93,44.45,43.86,44.35,44.12,43.55,43.27,44.13,40.96,41.70,41.48,41.89,41.54,41.17,40.94,40.41,41.11,40.79,40.85,41.58,41.84,41.45,41.84,41.25,41.00,41.22,41.37,40.71,40.25,39.58,40.59,41.09,41.46
20,2024/10/10 13:58:29.400,48.58,44.98,45.46,44.86,45.39,45.19,44.55,44.31,45.16,41.89,42.64,42.44,42.81,42.48,42.11,41.91,41.37,42.04,41.71,41.75,42.50,42.75,42.36,42.77,42.16,41.92,42.14,42.30,41.63,41.17,40.49,41.54,42.04,42.37
21,2024/10/10 13:58:30.384,49.64,46.01,46.46,45.90,46.41,46.23,45.60,45.35,46.21,42.81,43.59,43.39,43.78,43.44,43.04,42.85,42.33,42.97,42.61,42.66,43.41,43.68,43.28,43.69,43.08,42.84,43.06,43.21,42.56,42.10,41.41,42.48,42.96,43.27
22,2024/10/10 13:58:31.398,51.88,48.10,48.60,47.99,48.46,48.26,47.71,47.41,48.21,44.64,45.49,45.26,45.67,45.32,44.87,44.72,44.22,44.88,44.41,44.47,45.25,45.53,45.12,45.53,44.91,44.67,44.88,44.99,44.39,43.92,43.26,44.36,44.83,45.09
23,2024/10/10 13:58:32.395,52.96,49.08,49.63,49.02,49.47,49.26,48.75,48.40,49.26,45.57,46.43,46.21,46.58,46.23,45.79,45.62,45.14,45.83,45.32,45.38,46.17,46.46,46.04,46.44,45.84,45.59,45.81,45.93,45.30,44.82,44.19,45.29,45.76,46.02
24,2024/10/10 13:58:33.399,54.01,50.08,50.59,50.04,50.49,50.27,49.67,49.40,50.25,46.50,47.34,47.15,47.51,47.15,46.72,46.56,46.04,46.78,46.23,46.29,47.09,47.39,46.96,47.34,46.75,46.50,46.71,46.85,46.23,45.78,45.11,46.23,46.69,46.93
25,2024/10/10 13:58:34.396,55.08,51.13,51.61,51.04,51.48,51.24,50.70,50.47,51.25,47.44,48.26,48.09,48.45,48.07,47.64,47.51,46.98,47.72,47.12,47.20,48.01,48.29,47.88,48.25,47.66,47.42,47.62,47.75,47.13,46.72,46.05,47.18,47.59,47.83
26,2024/10/10 13:58:35.387,56.15,52.13,52.62,52.05,52.47,52.24,51.70,51.46,52.26,48.40,49.18,49.03,49.38,49.03,48.56,48.45,47.91,48.62,48.02,48.09,48.91,49.22,48.78,49.16,48.57,48.33,48.55,48.66,48.06,47.66,46.97,48.11,48.45,48.74
27,2024/10/10 13:58:36.399,58.26,54.11,54.60,54.03,54.43,54.28,53.73,53.50,54.26,50.28,51.06,50.86,51.23,50.93,50.43,50.33,49.73,50.46,49.81,49.91,50.74,51.04,50.57,51.01,50.41,50.17,50.36,50.49,49.88,49.49,48.82,49.95,50.32,50.56
