序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
0,2024/10/15 13:11:50.141,26.42,25.83,26.16,26.00,26.10,25.95,25.71,25.61,25.88,25.63,25.89,25.86,25.94,25.83,25.72,25.67,25.62,25.71,25.79,25.79,26.06,26.07,26.02,26.08,25.93,25.81,25.92,25.95,25.77,25.72,25.59,25.73,25.91,26.01
1,2024/10/15 13:11:51.141,28.12,27.02,27.49,27.24,27.42,27.18,26.82,26.64,27.08,26.55,26.93,26.87,27.05,26.85,26.66,26.63,26.47,26.67,26.78,26.78,27.15,27.21,27.09,27.24,27.00,26.84,26.95,27.02,26.71,26.64,26.37,26.65,26.91,27.06
2,2024/10/15 13:11:52.141,29.10,27.75,28.28,28.00,28.20,27.95,27.54,27.31,27.83,27.15,27.57,27.50,27.70,27.48,27.26,27.25,27.03,27.27,27.37,27.39,27.79,27.88,27.73,27.91,27.63,27.46,27.57,27.64,27.29,27.20,26.89,27.22,27.51,27.70
3,2024/10/15 13:11:53.130,30.14,28.55,29.12,28.84,29.06,28.78,28.32,28.06,28.64,27.78,28.26,28.19,28.41,28.17,27.93,27.90,27.64,27.92,28.01,28.04,28.47,28.60,28.41,28.65,28.31,28.11,28.24,28.33,27.93,27.81,27.44,27.85,28.17,28.38
4,2024/10/15 13:11:54.134,31.23,29.41,30.03,29.72,29.96,29.65,29.16,28.88,29.49,28.49,28.99,28.92,29.17,28.90,28.64,28.61,28.29,28.64,28.71,28.76,29.21,29.36,29.15,29.39,29.04,28.83,28.95,29.05,28.62,28.48,28.06,28.53,28.87,29.10
5,2024/10/15 13:11:55.138,32.33,30.32,30.96,30.63,30.90,30.58,30.05,29.75,30.41,29.23,29.77,29.70,29.97,29.67,29.40,29.36,29.01,29.39,29.45,29.49,29.98,30.15,29.91,30.19,29.81,29.58,29.69,29.81,29.34,29.17,28.73,29.24,29.62,29.85
6,2024/10/15 13:11:56.141,34.63,32.25,32.93,32.59,32.88,32.52,31.94,31.60,32.31,30.83,31.43,31.35,31.66,31.33,31.02,30.96,30.55,31.00,31.02,31.07,31.62,31.83,31.53,31.87,31.43,31.18,31.28,31.41,30.90,30.69,30.17,30.78,31.20,31.46
7,2024/10/15 13:11:57.143,35.82,33.23,33.95,33.60,33.90,33.53,32.92,32.55,33.31,31.67,32.29,32.22,32.54,32.20,31.86,31.80,31.37,31.85,31.84,31.90,32.46,32.71,32.37,32.74,32.29,32.01,32.13,32.24,31.72,31.51,30.93,31.60,32.03,32.29
8,2024/10/15 13:11:58.144,36.97,34.25,34.98,34.61,34.94,34.54,33.93,33.53,34.31,32.53,33.18,33.09,33.42,33.07,32.73,32.66,32.20,32.71,32.67,32.74,33.33,33.59,33.25,33.61,33.15,32.87,32.98,33.11,32.56,32.33,31.73,32.43,32.88,33.15
9,2024/10/15 13:11:59.138,38.12,35.26,36.02,35.64,35.97,35.59,34.96,34.52,35.34,33.39,34.06,33.99,34.33,33.97,33.61,33.53,33.07,33.59,33.52,33.59,34.21,34.48,34.12,34.51,34.02,33.74,33.84,33.96,33.43,33.17,32.56,33.29,33.75,34.01
10,2024/10/15 13:12:00.142,39.28,36.30,37.07,36.68,37.03,36.62,35.99,35.55,36.37,34.29,34.97,34.89,35.25,34.88,34.49,34.43,33.93,34.48,34.39,34.47,35.10,35.37,35.02,35.41,34.92,34.62,34.73,34.84,34.30,34.01,33.41,34.14,34.62,34.88
11,2024/10/15 13:12:01.142,41.57,38.38,39.14,38.77,39.16,38.70,38.04,37.60,38.44,36.10,36.83,36.75,37.12,36.72,36.32,36.24,35.73,36.30,36.13,36.22,36.89,37.21,36.83,37.21,36.72,36.40,36.52,36.62,36.08,35.75,35.11,35.91,36.41,36.64
12,2024/10/15 13:12:02.140,42.69,39.43,40.20,39.81,40.20,39.74,39.08,38.61,39.48,37.02,37.78,37.69,38.05,37.66,37.24,37.15,36.63,37.24,37.01,37.12,37.80,38.12,37.74,38.13,37.62,37.32,37.42,37.53,36.97,36.66,36.00,36.83,37.30,37.53
13,2024/10/15 13:12:03.135,43.84,40.47,41.26,40.86,41.24,40.78,40.14,39.63,40.52,37.93,38.71,38.64,39.00,38.61,38.18,38.10,37.55,38.17,37.89,38.01,38.70,39.03,38.65,39.06,38.54,38.22,38.34,38.44,37.87,37.57,36.88,37.75,38.21,38.43
14,2024/10/15 13:12:04.143,44.99,41.52,42.32,41.93,42.29,41.83,41.18,40.66,41.56,38.86,39.65,39.60,39.96,39.55,39.11,39.04,38.46,39.11,38.79,38.91,39.62,39.98,39.57,39.98,39.45,39.13,39.26,39.35,38.78,38.48,37.77,38.68,39.11,39.34
15,2024/10/15 13:12:05.133,46.14,42.57,43.39,42.97,43.34,42.92,42.20,41.70,42.60,39.78,40.60,40.54,40.93,40.50,40.07,39.96,39.39,40.05,39.69,39.81,40.53,40.91,40.49,40.91,40.38,40.04,40.17,40.27,39.69,39.39,38.68,39.60,40.03,40.23
16,2024/10/15 13:12:06.138,48.32,44.66,45.47,45.01,45.48,45.02,44.25,43.81,44.65,41.66,42.48,42.45,42.82,42.39,41.93,41.84,41.20,41.93,41.46,41.62,42.35,42.75,42.33,42.75,42.19,41.87,42.01,42.09,41.50,41.19,40.52,41.45,41.85,42.04
17,2024/10/15 13:12:07.131,49.46,45.72,46.51,46.05,46.50,46.04,45.25,44.82,45.68,42.59,43.40,43.40,43.76,43.33,42.83,42.72,42.11,42.85,42.36,42.51,43.26,43.68,43.25,43.68,43.12,42.78,42.91,43.03,42.41,42.09,41.44,42.37,42.75,42.95
18,2024/10/15 13:12:08.139,50.58,46.75,47.54,47.13,47.51,47.08,46.27,45.82,46.72,43.52,44.34,44.36,44.68,44.27,43.76,43.65,43.01,43.79,43.27,43.43,44.17,44.61,44.17,44.59,44.03,43.69,43.84,43.94,43.31,42.98,42.33,43.29,43.66,43.85
19,2024/10/15 13:12:09.131,51.68,47.78,48.55,48.17,48.55,48.11,47.33,46.86,47.76,44.45,45.28,45.31,45.64,45.20,44.69,44.61,43.93,44.73,44.15,44.32,45.09,45.54,45.09,45.50,44.95,44.62,44.74,44.86,44.21,43.87,43.25,44.21,44.56,44.76
20,2024/10/15 13:12:10.143,52.75,48.80,49.53,49.19,49.58,49.13,48.36,47.88,48.76,45.39,46.23,46.25,46.58,46.14,45.59,45.55,44.84,45.67,45.03,45.22,45.99,46.45,46.01,46.42,45.87,45.53,45.66,45.79,45.12,44.78,44.13,45.11,45.47,45.66
21,2024/10/15 13:12:11.147,53.79,49.81,50.53,50.21,50.60,50.13,49.39,48.89,49.75,46.28,47.14,47.18,47.52,47.08,46.54,46.49,45.76,46.60,45.94,46.13,46.91,47.37,46.93,47.34,46.79,46.45,46.57,46.69,46.01,45.65,45.03,46.00,46.37,46.57
22,2024/10/15 13:12:12.142,55.93,51.75,52.52,52.21,52.62,52.10,51.33,50.84,51.73,48.17,49.01,49.06,49.44,48.90,48.43,48.31,47.64,48.36,47.73,47.92,48.74,49.22,48.75,49.18,48.62,48.27,48.39,48.51,47.83,47.42,46.79,47.80,48.18,48.38
23,2024/10/15 13:12:13.137,56.99,52.73,53.51,53.22,53.59,53.06,52.36,51.86,52.74,49.04,49.95,49.97,50.38,49.87,49.38,49.19,48.56,49.24,48.63,48.82,49.64,50.11,49.65,50.10,49.52,49.18,49.31,49.40,48.75,48.31,47.65,48.70,49.07,49.28
24,2024/10/15 13:12:14.142,58.06,53.68,54.46,54.15,54.58,54.09,53.33,52.84,53.69,49.93,50.87,50.86,51.29,50.77,50.31,50.04,49.46,50.11,49.50,49.72,50.55,51.02,50.55,51.00,50.41,50.11,50.22,50.29,49.63,49.20,48.51,49.59,49.97,50.17
25,2024/10/15 13:12:15.143,59.10,54.68,55.43,55.12,55.56,55.12,54.29,53.80,54.65,50.87,51.78,51.76,52.21,51.70,51.21,50.92,50.36,51.08,50.40,50.62,51.44,51.93,51.45,51.91,51.32,51.01,51.10,51.18,50.52,50.07,49.41,50.49,50.86,51.05
26,2024/10/15 13:12:16.139,60.11,55.69,56.43,56.13,56.58,56.10,55.24,54.77,55.58,51.77,52.72,52.67,53.12,52.63,52.11,51.90,51.23,52.04,51.29,51.51,52.34,52.84,52.33,52.82,52.23,51.91,52.01,52.10,51.38,50.94,50.26,51.37,51.74,51.94
27,2024/10/15 13:12:17.133,62.11,57.68,58.42,58.06,58.54,58.08,57.22,56.74,57.47,53.64,54.56,54.51,54.95,54.43,53.94,53.69,53.00,53.90,53.05,53.29,54.13,54.61,54.13,54.61,54.02,53.71,53.81,53.91,53.11,52.71,51.93,53.13,53.49,53.70
28,2024/10/15 13:12:18.133,63.12,58.58,59.41,59.01,59.49,59.05,58.18,57.65,58.43,54.55,55.47,55.41,55.90,55.35,54.84,54.62,53.92,54.79,53.93,54.18,55.02,55.49,55.01,55.52,54.93,54.59,54.70,54.80,53.97,53.59,52.74,54.02,54.37,54.58
29,2024/10/15 13:12:19.141,64.17,59.46,60.31,59.97,60.46,60.01,59.15,58.65,59.46,55.48,56.37,56.31,56.83,56.24,55.74,55.50,54.76,55.70,54.81,55.06,55.89,56.39,55.90,56.41,55.81,55.49,55.60,55.69,54.84,54.42,53.66,54.89,55.24,55.45
30,2024/10/15 13:12:20.138,65.18,60.42,61.19,60.93,61.41,60.96,60.11,59.55,60.42,56.37,57.26,57.24,57.68,57.17,56.59,56.37,55.65,56.61,55.69,55.93,56.77,57.29,56.79,57.29,56.67,56.40,56.44,56.57,55.74,55.29,54.56,55.77,56.12,56.34
31,2024/10/15 13:12:21.133,66.08,61.40,62.16,61.90,62.30,61.89,61.07,60.49,61.33,57.25,58.16,58.16,58.57,58.11,57.47,57.27,56.52,57.52,56.56,56.80,57.64,58.15,57.69,58.20,57.52,57.27,57.30,57.46,56.65,56.14,55.41,56.62,56.98,57.20
32,2024/10/15 13:12:22.141,67.99,63.26,64.10,63.80,64.28,63.84,62.94,62.35,63.26,59.00,59.90,59.92,60.32,59.86,59.24,58.95,58.27,59.26,58.28,58.54,59.38,59.92,59.40,59.91,59.24,59.04,59.05,59.23,58.37,57.85,57.08,58.37,58.70,58.94
33,2024/10/15 13:12:23.137,68.96,64.25,65.03,64.75,65.27,64.76,63.84,63.20,64.18,59.90,60.79,60.81,61.20,60.71,60.12,59.84,59.12,60.13,59.15,59.38,60.22,60.80,60.25,60.80,60.13,59.89,59.98,60.08,59.25,58.69,57.91,59.22,59.57,59.82
34,2024/10/15 13:12:24.130,69.94,65.19,65.99,65.70,66.23,65.70,64.76,64.20,65.13,60.77,61.67,61.64,62.10,61.61,61.00,60.72,59.89,61.01,60.01,60.24,61.07,61.68,61.12,61.64,61.04,60.74,60.81,60.94,60.13,59.55,58.73,60.08,60.43,60.68
35,2024/10/15 13:12:25.137,70.91,66.15,66.93,66.65,67.12,66.65,65.69,65.06,66.04,61.61,62.53,62.51,62.98,62.48,61.95,61.64,60.77,61.90,60.86,61.10,61.89,62.55,61.98,62.52,61.93,61.59,61.67,61.79,61.00,60.37,59.58,60.94,61.28,61.55
36,2024/10/15 13:12:26.141,71.87,67.06,67.87,67.60,68.06,67.60,66.60,65.98,66.96,62.50,63.34,63.44,63.88,63.36,62.80,62.49,61.64,62.76,61.73,61.98,62.75,63.41,62.83,63.41,62.75,62.48,62.58,62.67,61.86,61.22,60.44,61.80,62.14,62.40
37,2024/10/15 13:12:27.144,73.80,68.87,69.72,69.47,69.90,69.43,68.41,67.79,68.83,64.24,65.11,65.22,65.64,65.10,64.51,64.21,63.24,64.51,63.40,63.66,64.48,65.16,64.56,65.16,64.54,64.21,64.28,64.41,63.49,62.93,62.02,63.51,63.83,64.13
38,2024/10/15 13:12:28.133,74.74,69.79,70.59,70.36,70.87,70.32,69.31,68.72,69.73,65.11,65.95,66.09,66.56,65.93,65.38,65.07,64.08,65.34,64.24,64.51,65.35,65.99,65.40,66.03,65.40,65.08,65.12,65.27,64.35,63.78,62.85,64.37,64.68,64.97
39,2024/10/15 13:12:29.130,75.66,70.64,71.48,71.24,71.77,71.21,70.23,69.65,70.60,65.96,66.83,66.93,67.43,66.82,66.21,65.92,65.02,66.14,65.07,65.35,66.21,66.84,66.26,66.82,66.28,65.96,66.02,66.00,65.11,64.62,63.67,65.21,65.53,65.78
40,2024/10/15 13:12:30.143,76.60,71.48,72.37,72.09,72.66,72.11,71.16,70.50,71.51,66.84,67.72,67.81,68.22,67.67,67.08,66.78,65.93,66.94,65.91,66.16,67.06,67.70,67.11,67.70,67.12,66.80,66.90,66.83,65.92,65.43,64.48,66.05,66.37,66.62
