序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
0,2024/08/22 13:09:20.868,27.34,27.32,27.34,27.33,27.34,27.36,27.34,27.32,27.32,27.33,27.34,27.32,27.34,27.37,27.39,27.34,27.31,27.30,27.33,27.34,27.31,27.31,27.31,27.35,27.38,27.34,27.36,27.39,27.38,27.34,27.29,27.29,27.31,27.33
1,2024/08/22 13:09:21.984,27.33,27.32,27.34,27.34,27.34,27.36,27.34,27.34,27.31,27.33,27.33,27.32,27.34,27.36,27.39,27.35,27.30,27.30,27.34,27.33,27.32,27.30,27.31,27.36,27.36,27.34,27.34,27.39,27.36,27.34,27.28,27.28,27.29,27.31
2,2024/08/22 13:09:22.874,27.33,27.33,27.33,27.34,27.33,27.35,27.34,27.33,27.32,27.34,27.33,27.33,27.34,27.36,27.36,27.35,27.30,27.31,27.33,27.33,27.31,27.31,27.32,27.36,27.37,27.34,27.33,27.38,27.38,27.34,27.28,27.29,27.29,27.33
3,2024/08/22 13:09:23.979,27.34,27.32,27.33,27.34,27.34,27.35,27.33,27.32,27.32,27.33,27.33,27.31,27.35,27.35,27.38,27.33,27.30,27.31,27.34,27.34,27.31,27.30,27.31,27.34,27.36,27.34,27.34,27.38,27.37,27.33,27.29,27.28,27.30,27.33
4,2024/08/22 13:09:24.871,27.34,27.33,27.32,27.33,27.34,27.34,27.34,27.32,27.31,27.34,27.32,27.32,27.33,27.36,27.38,27.34,27.31,27.30,27.33,27.33,27.29,27.29,27.31,27.34,27.37,27.35,27.34,27.39,27.37,27.33,27.28,27.27,27.29,27.32
5,2024/08/22 13:09:25.988,27.32,27.32,27.32,27.33,27.32,27.35,27.35,27.31,27.31,27.34,27.31,27.30,27.34,27.35,27.38,27.34,27.31,27.31,27.32,27.32,27.29,27.29,27.30,27.35,27.37,27.34,27.35,27.37,27.38,27.32,27.29,27.28,27.29,27.31
6,2024/08/22 13:09:26.978,27.32,27.31,27.32,27.32,27.32,27.34,27.33,27.31,27.31,27.32,27.32,27.30,27.33,27.36,27.38,27.34,27.30,27.31,27.32,27.32,27.29,27.29,27.32,27.35,27.37,27.33,27.35,27.37,27.38,27.33,27.29,27.28,27.29,27.31
7,2024/08/22 13:09:27.985,27.33,27.32,27.32,27.32,27.32,27.34,27.33,27.32,27.31,27.32,27.31,27.31,27.35,27.35,27.36,27.34,27.31,27.30,27.33,27.32,27.30,27.29,27.31,27.35,27.37,27.35,27.34,27.38,27.37,27.34,27.28,27.28,27.30,27.32
8,2024/08/22 13:09:28.983,27.32,27.32,27.33,27.32,27.33,27.35,27.33,27.32,27.31,27.32,27.31,27.33,27.34,27.35,27.38,27.35,27.31,27.31,27.33,27.33,27.31,27.28,27.31,27.35,27.37,27.35,27.34,27.37,27.38,27.32,27.29,27.29,27.30,27.32
9,2024/08/22 13:09:29.983,27.33,27.31,27.33,27.33,27.33,27.34,27.33,27.32,27.31,27.33,27.32,27.32,27.33,27.36,27.38,27.34,27.31,27.31,27.33,27.33,27.29,27.30,27.33,27.35,27.38,27.34,27.34,27.37,27.37,27.33,27.29,27.28,27.31,27.32
10,2024/08/22 13:09:30.982,27.33,27.32,27.33,27.33,27.34,27.36,27.33,27.33,27.32,27.31,27.32,27.33,27.34,27.34,27.36,27.34,27.31,27.30,27.33,27.32,27.30,27.30,27.32,27.35,27.36,27.33,27.33,27.36,27.38,27.33,27.30,27.29,27.30,27.33
11,2024/08/22 13:09:31.977,27.32,27.32,27.33,27.34,27.34,27.35,27.33,27.32,27.32,27.31,27.32,27.32,27.35,27.33,27.35,27.34,27.30,27.31,27.32,27.31,27.30,27.29,27.32,27.34,27.35,27.33,27.34,27.36,27.38,27.34,27.29,27.29,27.31,27.32
12,2024/08/22 13:09:32.864,27.34,27.31,27.32,27.34,27.35,27.35,27.33,27.33,27.32,27.32,27.33,27.33,27.35,27.34,27.36,27.34,27.31,27.31,27.33,27.32,27.30,27.30,27.32,27.35,27.35,27.32,27.34,27.36,27.38,27.35,27.29,27.29,27.31,27.32
13,2024/08/22 13:09:33.868,27.34,27.32,27.33,27.33,27.34,27.35,27.34,27.33,27.31,27.32,27.32,27.32,27.35,27.34,27.34,27.33,27.31,27.31,27.33,27.32,27.30,27.28,27.32,27.35,27.36,27.33,27.34,27.36,27.36,27.34,27.29,27.29,27.30,27.31
