序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2024/08/28 10:16:35.965,25.58,25.57,25.57,25.57,25.57,25.59,25.60,25.61,25.58,25.57,25.55,25.56,25.57,25.59,25.60,25.60,25.60,25.58,25.56,25.56,25.56,25.55,25.56,25.58,25.58,25.58,25.59,25.60,25.62,25.61,25.60,25.60,25.60,25.57
2,2024/08/28 10:16:36.969,25.59,25.57,25.57,25.58,25.58,25.59,25.60,25.59,25.58,25.56,25.57,25.56,25.57,25.59,25.60,25.60,25.60,25.58,25.56,25.56,25.56,25.56,25.57,25.57,25.58,25.58,25.58,25.60,25.61,25.61,25.61,25.61,25.59,25.58
3,2024/08/28 10:16:37.964,25.59,25.57,25.56,25.57,25.58,25.60,25.59,25.60,25.58,25.57,25.56,25.56,25.57,25.58,25.61,25.60,25.60,25.59,25.55,25.55,25.56,25.55,25.57,25.57,25.58,25.58,25.58,25.61,25.62,25.61,25.61,25.60,25.60,25.58
4,2024/08/28 10:16:38.967,25.60,25.57,25.57,25.57,25.58,25.60,25.59,25.60,25.59,25.56,25.55,25.57,25.57,25.58,25.60,25.60,25.60,25.58,25.56,25.56,25.55,25.55,25.57,25.57,25.58,25.57,25.59,25.61,25.61,25.62,25.61,25.59,25.59,25.58
5,2024/08/28 10:16:39.961,25.59,25.57,25.57,25.57,25.57,25.60,25.60,25.60,25.58,25.57,25.56,25.57,25.57,25.59,25.61,25.60,25.61,25.58,25.56,25.57,25.56,25.55,25.56,25.57,25.58,25.58,25.59,25.61,25.61,25.61,25.60,25.60,25.60,25.57
6,2024/08/28 10:16:40.962,25.59,25.57,25.57,25.56,25.57,25.59,25.60,25.61,25.58,25.57,25.56,25.56,25.56,25.59,25.61,25.60,25.60,25.58,25.56,25.57,25.56,25.56,25.57,25.57,25.59,25.59,25.59,25.61,25.62,25.62,25.61,25.59,25.59,25.58
7,2024/08/28 10:16:41.973,25.59,25.57,25.57,25.57,25.58,25.60,25.60,25.61,25.58,25.56,25.56,25.56,25.57,25.58,25.60,25.60,25.60,25.58,25.56,25.57,25.55,25.56,25.56,25.57,25.58,25.59,25.59,25.61,25.62,25.61,25.61,25.59,25.59,25.58
8,2024/08/28 10:16:42.961,25.59,25.57,25.57,25.57,25.57,25.59,25.60,25.60,25.58,25.58,25.56,25.56,25.57,25.59,25.60,25.60,25.61,25.59,25.56,25.56,25.56,25.56,25.56,25.58,25.58,25.59,25.60,25.62,25.62,25.61,25.60,25.60,25.60,25.58
9,2024/08/28 10:16:43.966,25.59,25.56,25.58,25.57,25.58,25.59,25.60,25.60,25.57,25.57,25.55,25.57,25.57,25.59,25.60,25.60,25.60,25.59,25.56,25.56,25.56,25.55,25.56,25.58,25.58,25.58,25.59,25.61,25.62,25.63,25.61,25.60,25.59,25.59
10,2024/08/28 10:16:44.962,25.58,25.57,25.57,25.56,25.58,25.59,25.59,25.59,25.58,25.57,25.55,25.56,25.57,25.58,25.60,25.60,25.60,25.58,25.56,25.56,25.56,25.54,25.55,25.56,25.58,25.58,25.59,25.61,25.62,25.62,25.61,25.60,25.59,25.57
