序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7,温度CH8,温度CH9,温度CH10,温度CH11,温度CH12,温度CH13,温度CH14,温度CH15,温度CH16,温度CH17,温度CH18,温度CH19,温度CH20,温度CH21,温度CH22,温度CH23,温度CH24,温度CH25,温度CH26,温度CH27,温度CH28,温度CH29,温度CH30,温度CH31,温度CH32,温度CH33,温度CH34
1,2024/08/28 13:09:20.008,25.31,25.31,25.30,25.30,25.30,25.33,25.33,25.33,25.31,25.30,25.29,25.29,25.29,25.31,25.33,25.33,25.33,25.31,25.29,25.29,25.28,25.28,25.29,25.30,25.31,25.31,25.33,25.35,25.35,25.34,25.33,25.32,25.32,25.30
2,2024/08/28 13:09:21.016,25.34,25.31,25.35,25.32,25.33,25.32,25.32,25.33,25.32,25.29,25.34,25.32,25.33,25.33,25.32,25.34,25.33,25.32,25.29,25.30,25.34,25.33,25.33,25.33,25.32,25.32,25.36,25.37,25.36,25.35,25.33,25.33,25.36,25.35
3,2024/08/28 13:09:22.015,25.55,25.41,25.53,25.45,25.48,25.43,25.38,25.38,25.43,25.37,25.46,25.44,25.48,25.44,25.41,25.40,25.41,25.40,25.42,25.39,25.54,25.49,25.52,25.51,25.47,25.43,25.50,25.52,25.46,25.44,25.42,25.43,25.53,25.51
4,2024/08/28 13:09:23.010,25.99,25.65,25.90,25.74,25.81,25.72,25.59,25.55,25.70,25.54,25.73,25.69,25.76,25.69,25.62,25.60,25.58,25.60,25.66,25.64,25.85,25.83,25.81,25.83,25.75,25.66,25.77,25.79,25.68,25.67,25.60,25.67,25.81,25.82
5,2024/08/28 13:09:24.012,27.41,26.61,27.00,26.74,26.87,26.69,26.43,26.33,26.69,26.26,26.57,26.51,26.64,26.50,26.37,26.37,26.27,26.37,26.46,26.47,26.77,26.80,26.71,26.80,26.61,26.48,26.60,26.66,26.46,26.46,26.28,26.48,26.67,26.73
6,2024/08/28 13:09:25.010,28.28,27.24,27.69,27.39,27.54,27.33,27.03,26.90,27.33,26.74,27.11,27.05,27.21,27.04,26.88,26.89,26.75,26.89,26.97,26.99,27.33,27.40,27.27,27.40,27.16,27.01,27.13,27.21,26.96,26.96,26.75,27.00,27.21,27.30
7,2024/08/28 13:09:26.021,29.23,27.99,28.45,28.11,28.30,28.06,27.71,27.55,28.05,27.31,27.73,27.65,27.84,27.65,27.47,27.49,27.31,27.47,27.56,27.59,27.95,28.05,27.88,28.05,27.78,27.60,27.73,27.82,27.53,27.53,27.28,27.59,27.81,27.92
8,2024/08/28 13:09:27.019,30.23,28.77,29.28,28.92,29.11,28.86,28.46,28.29,28.85,27.94,28.41,28.31,28.54,28.31,28.10,28.14,27.91,28.12,28.19,28.23,28.62,28.75,28.55,28.75,28.44,28.25,28.38,28.47,28.16,28.17,27.87,28.24,28.47,28.58
9,2024/08/28 13:09:28.012,31.29,29.61,30.16,29.77,29.99,29.70,29.27,29.09,29.69,28.61,29.14,29.03,29.28,29.01,28.79,28.83,28.57,28.81,28.87,28.91,29.34,29.47,29.24,29.48,29.13,28.92,29.07,29.16,28.83,28.83,28.50,28.91,29.16,29.27
10,2024/08/28 13:09:29.013,32.37,30.50,31.07,30.65,30.88,30.58,30.13,29.94,30.58,29.34,29.88,29.78,30.05,29.76,29.51,29.57,29.28,29.56,29.57,29.63,30.08,30.24,29.97,30.26,29.87,29.64,29.77,29.88,29.54,29.54,29.17,29.64,29.88,30.01
